threshold,model,iou_score
(0~5],efficientnetb0,0.43424
(0~5],mobilenet,0.43911
(0~5],resnet101,0.43318
(0~5],vgg19,0.41076
(0~5],PID-Net,0.5303
(0~5],PID-Net(background),0.7501
[0~5],efficientnetb0,0.45559
[0~5],mobilenet,0.4392
[0~5],resnet101,0.4397
[0~5],vgg19,0.41896
[0~5],PID-Net,0.469
[0~5],PID-Net(background),0.7178
(0~10],efficientnetb0,0.51707
(0~10],mobilenet,0.50479
(0~10],resnet101,0.52789
(0~10],vgg19,0.46791
(0~10],PID-Net,0.591
(0~10],PID-Net(background),0.7824
[0~10],efficientnetb0,0.52895
[0~10],mobilenet,0.52499
[0~10],resnet101,0.51478
[0~10],vgg19,0.48459
[0~10],PID-Net,0.6261
[0~10],PID-Net(background),0.8007
(0~15],efficientnetb0,0.54319
(0~15],mobilenet,0.52621
(0~15],resnet101,0.54315
(0~15],vgg19,0.4946
(0~15],PID-Net,0.6469
(0~15],PID-Net(background),0.8118
[0~15],efficientnetb0,0.54919
[0~15],mobilenet,0.5323
[0~15],resnet101,0.54804
[0~15],vgg19,0.49478
[0~15],PID-Net,0.6507
[0~15],PID-Net(background),0.8138
(0~20],efficientnetb0,0.53729
(0~20],mobilenet,0.5356
(0~20],resnet101,0.54696
(0~20],vgg19,0.50251
(0~20],PID-Net,0.6701
(0~20],PID-Net(background),0.824
[0~20],efficientnetb0,0.54974
[0~20],mobilenet,0.5452
[0~20],resnet101,0.55233
[0~20],vgg19,0.50709
[0~20],PID-Net,0.65
[0~20],PID-Net(background),0.8134
(0~100],efficientnetb0,0.54643
(0~100],mobilenet,0.54125
(0~100],resnet101,0.54581
(0~100],vgg19,0.48679
(0~100],PID-Net,0.6622
(0~100],PID-Net(background),0.8198
[0~100],efficientnetb0,0.55266
[0~100],mobilenet,0.51465
[0~100],resnet101,0.54221
[0~100],vgg19,0.47056
[0~100],PID-Net,0.6653
[0~100],PID-Net(background),0.8213
